0: 0/30 0 40:50 0*4_0*2_0*1_0*2_0*1_0*3_0*1_0*3_0*3_0*1_0*3_0*4_0*3_0*2_0*1_0*1_0*1_0*3_0*3_0*3_0*2_0*2_0*3_0*3_0*4_0*2_0*2_0*4_0*4_0*3
1: 0/1 0 0:0 0*4
1: 0/1 0 0:2 0*41: 0/1 0 0:1 1*4
1: 0/1 0 0:2 2*4
1: 0/1 0 0:1 3*4
1: 1/1 100 0:0 4*4
1: 1/1 100 0:6 4*4
1: 1/1 100 0мин. 1с. 4*4
1: 1/1 100 0:0 4*4
1: 1/1 100 0:7 4*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:0 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
1: 0/1 0 1:1 3*4
